"UNSR","UNR","SubRegion","EditName","EditDate"
"005","019","South America","BM",3/25/2009 0:00:00
"011","002","Western Africa","BM",3/25/2009 0:00:00
"013","019","Central America","BM",3/25/2009 0:00:00
"014","002","Eastern Africa","BM",3/25/2009 0:00:00
"015","002","Northern Africa","BM",3/25/2009 0:00:00
"017","002","Middle Africa","BM",3/25/2009 0:00:00
"018","002","Southern Africa","BM",3/25/2009 0:00:00
"021","019","North America","BM",3/25/2009 0:00:00
"029","019","Caribbean","BM",3/25/2009 0:00:00
"030","142","Eastern Asia","BM",3/25/2009 0:00:00
"034","142","Southern Asia","BM",3/25/2009 0:00:00
"035","142","South-Eastern Asia","BM",3/25/2009 0:00:00
"039","150","Southern Europe","BM",3/25/2009 0:00:00
"053","009","Australia and New Zealand","BM",3/25/2009 0:00:00
"054","009","Melanesia","BM",3/25/2009 0:00:00
"057","009","Micronesia","BM",3/25/2009 0:00:00
"061","009","Polynesia","BM",3/25/2009 0:00:00
"143","142","Central Asia","BM",3/25/2009 0:00:00
"145","142","Western Asia","BM",3/25/2009 0:00:00
"151","150","Eastern Europe","BM",3/25/2009 0:00:00
"154","150","Northern Europe","BM",3/25/2009 0:00:00
"155","150","Western Europe","BM",3/25/2009 0:00:00
"999","999","Uninhabited","BM",3/25/2009 0:00:00
